what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392198927227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392198930433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392198945883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392198947499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392198954732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392198956682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392198965491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392198966970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392198979817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392198990072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392198993662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199000500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392199004878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199018965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199038237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199098689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199413517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392199422252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392199427000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392199427671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392199433933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392199455440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392199457553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199465693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199472119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199473925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199480348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199484559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199487574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199490169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199494784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1392199503327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1392199505946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392199507797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392199534139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199570146
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1392199603635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199899010
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392199899317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199908982
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1392199909003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392199946571
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392199946591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392199982852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392199998231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392200000612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1392200159039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1392200159375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392200173047
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1392200176284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392200187417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392200190832
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1392200196215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392200197155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392200197326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392200197328
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1392200197344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392200197348
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392200197369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392200197371
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1392200197385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392200197876
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392200197898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392200199067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392200208125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392200211688
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1392200224134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392200265658
